found_helpfuls,names,product_link,product_name,ratings,review_contents,titles,user_links
560,marina,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",5.0 out of 5 stars,<span>A amazing workbook. My daughter is learning how to write (shes in preschool). This book is a great tool. I love it because I am not a teacher. I need help teaching my child these things in a way that an educator would. This book definetly does that. Its very age appropriate and my daughter likes it more than anything else we have tried.</span>,A great tool for teaching preschoolers,/gp/profile/amzn1.account.AH54NLHEFU3IUAKL5Y5I5Y4LC3ZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
68,Tanya Lorraine Best,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",5.0 out of 5 stars,"<span>My toddler started late in school (2 1/2) and he showed no interest in learning at all. I purchase this book which is for beginners to learn how to trace. Now, he is almost three and does the work on his own without any hesitation. Excellent book</span>",Great for toddlers,/gp/profile/amzn1.account.AH35J55TUFVVTMSSFK2B5BO6URAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
57,DB customer ,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",5.0 out of 5 stars,<span>Such a great experience book for little ones. I definitely learnt a lot about my child favorite shape 😀. It does help with practice of holding pencil / marker and to focus on the project. I am very satisfied.</span>,Great book,/gp/profile/amzn1.account.AE3U3WPU2ONDQD5KPL6YNHLJXQYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
51,Candace L Groves,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",3.0 out of 5 stars,"<span>I was looking for a wipe clean book my son could reuse, and when I typed it in the My First Learb to Write Workbook was the first to pop up. It would have been perfect if it were what I was looking for.</span>",Not what I wanted at all,/gp/profile/amzn1.account.AGF3LIIUL2SSYJQ6HZ2LO5NO3GYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
33,Casteel,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",5.0 out of 5 stars,"<span>*SEE PRODUCT DEMONSTRATION VIDEO* for  A look inside the book at activities, pages and additional learning not listed on cover in full depth<br><br>I purchased this specifically to help aid in supplemental learning during the closure of schools due to the COVID-19 pandemic.<br><br>This is amazing for a preschool learning tool and right off the bat different from any preschool learning book I have purchased in the past.<br><br>This supplemental learning workbook stood out against the Pack right away because of these key factors<br><br>1) it covered Capital and lowercase letters and numbers in one book<br><br>2) The number of times it gave for practicing each letter in lowercase and uppercase as well as the numbers was significant compared to other workbooks (A large issue I had with workbooks  previously is they would have the child write a letter four or five times… This workbook has your child at minimum writing each letter 15 to 20 times really getting that repetition in there for memory and retention)<br><br>3) It covered more than just writing the letters and numbers there were activity Pages that practiced pen strokes and different curves and lines where your child Would be writing and turning the pen different ways without allowing it to leave the paper practicing hand mannerisms they would use while writing letters and numbers on their own.<br><br>4) This workbook also covered shapes which I wasn’t expecting because it was not listed on the front but was nice to take breaks from letters and numbers here and there<br><br>5) My daughter actually asks me to do Her workbook which tells me that she enjoys it and feels accomplished when completing pages</span>",Must buy for preschool home learning tool!! Different from other workbooks out there in many ways,/gp/profile/amzn1.account.AHKB62LLUT2OZQD5MVVPOGSKPCUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8
35,Anne Sawyer,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",4.0 out of 5 stars,"<span>I thought this was one that you could use the dry erase pens on, but it is not. so that was dissapointing to me.  my boys had one that was erasable when they were young and it was awesome. but this one once its done its done, no redoing it.  so i would not buy this again</span>",not erasable marker,/gp/profile/amzn1.account.AEQOCLA7GZ43BPG4X7UMC34QBDXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
29,PeanutNthebeast,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",5.0 out of 5 stars,"<span>Good book that covers all the basics of writing letters and numbers.  Purchased for my 5 year old.  He likes it about as much as a 5 year old likes learning workbooks.  As a mom, I think it’s a great starter book!</span>",Great starter workbook for letters and numbers.,/gp/profile/amzn1.account.AGXETQI4YD4GFSVC57BH4POQK3ZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
18,Tim wilson,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",5.0 out of 5 stars,<span>Letter and numbers are big! Very good for kids learning to write. Very clear and easy!</span>,Must have!,/gp/profile/amzn1.account.AFFCZLWOUM5TBRYFGFAJH4FMDNXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
10,Black dogs,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",5.0 out of 5 stars,<span>Great for helping little ones start there journey to writing. Helps to show tracing and pencil movement learning letters numbers and shapes<br>Highly recommended for early learners</span>,Great for early learning,/gp/profile/amzn1.account.AFTBE4OY5YU6EMRXDZERR7CUKXOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8
4,Amazon Customer,https://www.amazon.com/My-First-Learn-Write-Workbook/dp/1641526270/ref=zg_bs_books_17?_encoding=UTF8&psc=1&refRID=RAP6KETCHXY786T8FKEX,"My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! (Kids coloring activity books)",1.0 out of 5 stars,"<span>When I saw the word ""Yak"" spelled as ""Yack"", I new I had to review this workbook. How embarrasing for the publisher, and what a shame to educate kids with this kind of material. Disappointing.</span>",simple spelling errors- unacceptable,/gp/profile/amzn1.account.AG3G55LMBPWHQBKHWIYKPQMJGZ2Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8
